RequestId,CustomerName,Source,Destination,Criteria
1,Leo Ebert,4D9A9D,B2A921,Time
2,Charlie Hegmann,E47BC1,E696ED,Time
3,Edmund Maggio,BE6685,C84090,Time
4,Edward Greenfelder,7B1858,6ABE48,Hops
5,Deborah Howell,587721,BE6685,Hops
6,Jana Bartell,12CDB8,BE6685,Hops
7,Sharon Crooks,A2E393,3405F8,Hops
8,Carole Treutel,4D9A9D,12CDB8,Cost
9,Misty Fadel,6ABE48,587721,Cost
10,Mark Ryan,8CFCAE,C84090,Hops
11,Geoffrey Walsh,12CDB8,CAEF66,Cost
12,Nicolas Zemlak,CACE5F,A2E393,Cost
13,Beverly Walter,12CDB8,E696ED,Cost
14,Gordon Hessel,12CDB8,587721,Hops
15,Kerry Boehm,E696ED,E47BC1,Time
16,Lucille Reynolds,3405F8,8CFCAE,Time
17,Domingo Quitzon,E47BC1,CAEF66,Time
18,Greg O'Conner,CACE5F,7B1858,Hops
19,Yvette Macejkovic,E47BC1,3405F8,Cost
20,Veronica Gerhold,986F78,2A4593,Hops
21,Sadie Wintheiser,CAEF66,BE6685,Cost
22,Pablo McLaughlin,587721,70FDC8,Cost
23,Lloyd Stoltenberg,8CFCAE,BE6685,Hops
24,John Douglas,CACE5F,A2E393,Cost
25,Brandon Smith,D74FF4,CAEF66,Time
26,Cary Skiles,2A4593,E47BC1,Time
27,Clyde Rosenbaum,E47BC1,C44F97,Time
28,Evelyn Bins,A2E393,587721,Cost
29,Sean Bernier,A2E393,4D9A9D,Hops
30,Shelia Mayer,C84090,A2E393,Cost
31,Tomas Wilkinson,C84090,986F78,Time
32,Kristy Waters,70FDC8,3405F8,Cost
33,Wm Marks,986F78,B2A921,Time
34,Delbert Casper,C44F97,CAEF66,Hops
35,Natalie Moore,E696ED,3405F8,Cost
36,Ken Blick,4D9A9D,4D9A9D,Time
37,Catherine Friesen,A2E393,8CFCAE,Cost
38,Rickey Robel,D74FF4,12CDB8,Cost
39,Domingo Bayer,587721,C44F97,Hops
40,Rosalie Simonis,CACE5F,B2A921,Cost
