RequestId,CustomerName,Source,Destination,Criteria
1,Terry Thiel,5B8D34,19641B,Time
2,Leslie Dickinson,1F29B5,8DB674,Hops
3,Bert Pouros,3B4762,9189E1,Cost
4,Anne Ferry,3B4762,94D4E0,Time
5,Sherry Graham,9EB16F,FE52DA,Cost
6,Sonya Ortiz,023881,C33C74,Time
7,Darrin Kautzer,9189E1,B974DA,Cost
8,Casey Little,02389D,C52400,Hops
9,Elbert Balistreri,550364,AE85F2,Hops
10,Ross Maggio,76D7A7,E28CB6,Cost
11,Rosemary Homenick,965CE4,682474,Cost
12,Velma Stracke,ED1E89,8A3A94,Time
13,Wayne Schiller,682474,4D2472,Time
14,Eva Connelly,76D7A7,71AE33,Hops
15,Donald Johns,5EA68F,382A98,Cost
16,Karla Koepp,84305B,C33C74,Cost
17,Kathy Pollich,392BF5,AC417B,Cost
18,Leroy Cormier,EEBEEB,D320E5,Hops
19,Derrick Rosenbaum,A16183,71AE33,Cost
20,Rogelio Renner,C19EE3,FE52DA,Hops
21,Connie Kunze,320DB4,58183F,Time
22,Myra Gorczany,4D2472,CDC26D,Time
23,Jamie McDermott,30DAE4,5131C3,Time
24,Karen Stoltenberg,6D3D99,C33C74,Time
25,Sidney Cartwright,6D3D99,A9446A,Hops
26,Roberto Dibbert,6CAE8A,0F59F8,Hops
27,Jennie Cartwright,ED1E89,9934F3,Cost
28,Christopher Wisoky,D46B5F,BB58E8,Hops
29,Randall Schuppe,097B12,8BDE7B,Cost
30,Kayla Hackett,C6637A,C5E307,Time
31,Amos Leffler,6E7635,8BDE7B,Hops
32,Brittany Waters,3C766D,FE52DA,Cost
33,Frank Connelly,DAAFEF,7B2E93,Hops
34,Louise Luettgen,02389D,58183F,Time
35,Emanuel Walter,097B12,02389D,Cost
36,Latoya Carter,E70A99,DC1B44,Hops
37,Dana Crist,0AACB6,316F69,Time
38,Johnnie Vandervort,CE2276,D08E9D,Hops
39,Tami Ryan,AC052B,B59188,Cost
40,Ana Reichel,76BC45,76D7A7,Cost
41,Jorge Daniel,C52400,1C55B1,Cost
42,Stephanie Mueller,D6418E,D7D0FF,Time
43,Barbara Hoppe,FB7714,F5DFF1,Hops
44,Patrick Kemmer,CA4B18,83A971,Time
45,Elsa Walker,AAE996,C6637A,Cost
46,Nellie Corkery,AE3CB3,3B4762,Hops
47,Ed Stroman,9189E1,9189E1,Time
48,Bryan Muller,115E3D,92573F,Time
49,Debra Kris,9E3E90,5EA68F,Hops
50,Jose Greenfelder,4958EC,ED1E89,Time
51,Gustavo Boyle,76D7A7,550364,Cost
52,Caleb Dickens,AAE996,9189E1,Cost
53,Jean Braun,C52400,49E938,Hops
54,Jonathan Rice,AC052B,1C55B1,Hops
55,Constance Hackett,AC052B,C97172,Time
56,Curtis Reichert,76D7A7,023881,Cost
57,Ralph Rosenbaum,E70A99,8AD5CB,Cost
58,Clyde Fay,6CAE8A,0E4226,Time
59,Ethel Koch,3C9576,CDC26D,Time
60,Katie Gerhold,7B66A2,45692C,Hops
61,Alfredo Price,E39BDC,7C7C2B,Hops
62,Tracy Predovic,A9446A,C33C74,Cost
63,Tina Crooks,C33C74,58183F,Time
64,Mable Schulist,02389D,F289AC,Cost
65,Sylvester Hills,FE1774,556CA3,Cost
66,Corey Kirlin,A16183,5E32DC,Cost
67,Thomas Graham,E39BDC,FE52DA,Time
68,Kerry Spencer,483E0B,E28CB6,Cost
69,Cameron Kutch,C89939,6D3D99,Cost
70,Nora Bahringer,E70A99,EDB726,Time
71,Caleb Klein,5BF693,49E938,Time
72,Vanessa Larkin,023881,30DAE4,Time
73,Jack Gulgowski,7C8400,ED1E89,Cost
74,Gilbert Friesen,D08E9D,5E32DC,Cost
75,Ken Borer,7B2E93,6CAE8A,Time
76,Hannah Yundt,83A971,B974DA,Cost
77,Duane Bosco,9C5E0D,ED1E89,Cost
78,Lee Mayert,FE1774,CE2276,Cost
79,Owen Denesik,75A9A4,544FAE,Hops
80,Sophia Powlowski,6E7635,E39BDC,Cost
